Desire-Expression-Sentence,Prior-Context,Post-Context,Fulfillment-Label,Fulfillment-Agreement-Score,Evidence,Evidence-Overlap-Score,Desire-Verbal-Pattern
"It's not what I'd hope though the spine part, the part I [wanted to] get correct the most, did end up how I wanted it.","God damn external IP and all that, we're all seen as the same person to most websites. Anyway. Have a sketch. I was listening to the Protomen, who are amazing and everyone who likes Megaman should go and get their album, and I remembered how much I lovelovelove construction/deconstruction/repair shots of Megaman characters, pictures of which I have about 3 of. In the end Kanada's (from hush Hush, which is now closed) picture beat this one by a mile because she chose the perfect pose and after 8 thumbnails I just couldn't come up with one with more emotion and flow and feeling than hers. So I just tried my best.",I just realized the elbows are utterly screwed up. He's a robot we'LL let THIS ONE slide.,Fulfilled,3,did end up how I wanted it did end up how I wanted it. did end up how I wanted it. ,2,wanted to
Then I started to get ready for my physics test tommrow and an [wanted to] go grab some lunch.,"Read about Japanese art, but mostly the architecture, it was pretty intertesting but I ended up flipping to the section with the cool Japanese nature/landscape paintings. Similar to this but this pic doesnt do it justace Made me realzie that I have to get some of that great stuff for my next place, would do it for my room now but shoot... I have way too much stuff to try and do a remodel my room now But yea thats for another time","So we invited drew, Daniel, Kristy, and Jansen to also come with us We headed to orginal Joes downtown to grab some lunch as usual me, an, and drew were there first and we had to wait till the rest of our party came... so we decied to check out the menu in the mean time... Bad idea... Lol menu scared us all for a second... untill we luckly found the sandwiches that were all around 10-15 bucks... still is kinda pricey for a cheapo like me ended up getting the pork rost sandwich and I loved it... While Daniel who ordered the same didnt...",Fulfilled,3,"So we invited drew, Daniel, Kristy, and Jansen to also come with us We headed to orginal Joes downtown to grab some lunch as usual me, an, and drew were there first and we had to wait till the rest of our party came So we invited drew, Daniel, Kristy, and Jansen to also come with us We headed to orginal Joes downtown to grab some lunch So we invited drew, Daniel, Kristy, and Jansen to also come with us We headed to orginal Joes downtown to grab some lunch ",3,wanted to
"We (the girl interns), of course, all loved them and [wanted to] babysit them and stuff and listened to their album over and over until the boy interns broke it in half Anyway, one day their dad came to the office for some reason, and upon finding out about how awesome we thought his sons were, gave us all signed posters.","Two summers ago when I was working for Columbia, the Jonas Brothers were this newly signed band that not too many people really knew about.","Okay, so my undying love for the Jonas Brothers was mostly for the lolz and the supercute factor and the poster got lost in my black hole of a closet. When I say black hole I mean it. I think I have notes from fifth grade in there but then they became huge and I knew: I had to find that poster. And I DID. And I AM going TO MAKE so much MONEY off of IT I can'T wait.",Unknown from the context,2,None,2,wanted to
Reason for such an anarchic behaviour: My city was organizing a second hand market by the Seine and alskling and I [wanted to] get there before every good stuff are gone.,In fact I can't call it lazy since I got up at dawn (9am).,"So it is light at 9am on Sundays. I never had so much fun at a second hand market, we actually found stuff! Alskling was hunting for DVDs and ended up buying 6, I got 2 myself (a French movie and Billy Eliot), we found a great m&M's lunch box for 1 euro and a very cute clock with a duck!! alskling bought an old John Travolta vinyl, just his hair cut on the cover was worth the 2 euros. We came home and had the best baguette ever for breakfast and went back there around 4 where I got a skirt for 2 euros I think in 2 weeks the next city is having a secondhand market as well En fait, pas vraiment ""lazy"" puisque je me suis levee a l'aube (9h).",Fulfilled,3,"So it is light at 9am on Sundays. I never had so much fun at a second hand market, we actually found stuff! In fact I can't call it lazy since I got up at dawn (9am). So it is light at 9am on Sundays. I never had so much fun at a second hand market, we actually found stuff! In fact I can't call it lazy since I got up at dawn (9am). So it is light at 9am on Sundays. I never had so much fun at a second hand market, we actually found stuff! ",2,wanted to
"I'd always [wanted to] see a turtle race, so we hopped out and watched one.","No big deal; it taught me a healthy respect for knives, which is good. Second day, off duty. Third day, worked all morning and then got roped into a day of extreme sports. No, really. Zhora, Helene, and Suzette snagged me and dragged me along with them out to Longville, where the turtle races were going on because it was Wednesday.","And if you think turtle racing isn't an extreme sport, you've never seen one. Then we proceeded to a cabin owned by Dalhia's (first half kitchen and a former villager of mine) boyfriend's uncle's friend... or something... Where, while everybody else tried their hands and feet at wakeboarding, I laid claim to a kayak and played around in it until I got tired, at which point I slipped my feet down into the prow and took a nap.",Fulfilled,3,"so we hopped out and watched one. Zhora, Helene, and Suzette snagged me and dragged me along with them out to Longville, where the turtle races were going on because it was Wednesday.  so we hopped out and watched one. And if you think turtle racing isn't an extreme sport, you've never seen one. Zhora, Helene, and Suzette snagged me and dragged me along with them out to Longville, where the turtle races were going on because it was Wednesday.  so we hopped out and watched one. And if you think turtle racing isn't an extreme sport, you've never seen one. ",2,wanted to
"He [wanted to] show his gal pal (or girlfriend, I don't know what she is)","I explained to her that I'm not keeping any of it cause I can't take it with me to Santa Barbara. I got most of the garbage and grabbed anything I was going to keep (that was around 5 things), and sat down. When she asked if I was going to continue cleaning ""my"" Room, I told her it's not my stuff, keep the sketch books under the bed, it's your room, your problem, I'll take my jewelry armour later. So, we hung out for a few hours when Wes came over.",Impy.,Unknown from the context,2,Wes came over. ,2,wanted to
I felt very awkward and [wanted to] just run.,"I wore a skirt with my strappy tie up sandals that I've had for 5 years, and still love em. There was a volunteer guy that I noticed that kept looking down at my feet. I would ask b if he saw that and was like ""no I didn't notice anything"" This happened 3 times while we were waiting. When we were walking in the theater, he did the obvious look down directly at my feet.",I looked back to see if B finally noticed. Holy couldn't have been more obvious.,Unfulfilled,2,I looked back to see if B finally noticed. I looked back to see if B finally noticed. Holy couldn't have been more obvious. I looked back to see if B finally noticed. Holy couldn't have been more obvious. ,2,wanted to
"Then, he [wanted to] show me the vitamins he takes.","It's not that this kid is bad - he just has ADHD. I have never had the privilege of seeing a child with ADHD up close and personal. Wow. The Boy was up and down out of his chair like a jack-in-the-bow, the whole while talkingtalkingtalkingtalking. He was trying to find an electric pencil sharpener that worked (meanwhile, he had a perfectly sharpened pencil in front of him).","After that, it was getting out the uncooked macaroni and crunching away on that.",Fulfilled,3,"After that, it was getting out the uncooked macaroni and crunching away on that. After that, it was getting out the uncooked macaroni and crunching away on that. After that, it was getting out the uncooked macaroni and crunching away on that. ",3,wanted to
I [wanted to] buy one of the bunnies from there.,"Well it's about time, it's been getting colder for a week or so now. And I went to the Cumberland fair yesterday, another sign of fall. Totally went on the gravitron and the bumper cars. It was great.","But that was like $50 and I didn't want to spend that much. But I did get a bad ass shirt... I just lost the game... that's what it says on it. Yeah, I payed $12 to get a shirt made that says ""I just lost the game""... and it only made one person at the fair lose, but it was pretty funny though. And then me and Justin went down to Portland and got super duper high at Dale's, then we went to Shawn's and got super more high.",Unfulfilled,3,But that was like $50 and I didn't want to spend that much. But that was like $50 and I didn't want to spend that much. But that was like $50 and I didn't want to spend that much. ,3,wanted to
They [wanted to] know about what I did on the internet.,"The second is semi-lucid dreams, which are far more interesting, because it starts out with me having almost full control, but then evolves into something in which I have no control over whatsoever and whatever my subconscious says goes regardless of my brain saying otherwise. It's a rather trippy state to be in, by the way. I started on a beach with two of my buds. We were just chilling, y'know how lazy summer days are. It got dark, so my friends and I went into the beach house.","So I decided to show them by going to Niconico Douga, which is funny since I only go there whenever Veronica sends me something. There was a complete computer error in which the green turned bright green and literally just inhaled me, disintergreating me into its LCD screen.",Fulfilled,2,So I decided to show them by going to Niconico Douga So I decided to show them by going to Niconico Douga So I decided to show them by going to Niconico Douga ,3,wanted to
"Hi Linda, I just [wanted to] again thank you for the use of your beautiful home during our stay in Queenstown.","We found everything we needed away from home; a fascinating library collection, a welcoming fridge with little touches of kindness & incredibly comfortable beds. Loved the spacious rooms, entertaining & outdoor areas to get lost in. We loved every minute of our stay and will be back! Thank you for making us feel so special! S cott & Erica, Sydney, Australia March 2008","Although we had a really great time in New Zealand, our stay in your home was the best of it! Just relaxing and looking at the beautiful view from any of the rooms of your home was really great therapy. You can of course use anything I have written for your website.",Fulfilled,3,"thank you for the use of your beautiful home during our stay in Queenstown. Although we had a really great time in New Zealand, our stay in your home was the best of it! Although we had a really great time in New Zealand, our stay in your home was the best of it! ",2,wanted to
"Those cruel words filled me with wild passion; I either [wanted to] kill her or fuck her right there, and I hadn't even seen her face.","When I finally came to, I couldn't see anything. Well, that's not totally true; through the blackness I could make out the shimmering geometry that one always ""sees"" with eyes closed, but ultimately I was blind to the world around me. I tried to open my eyes, but they were crusted shut, presumably with blood. ""Don't struggle."" Her voice smelled like cigarettes, and I could almost taste her cherry red lips smacking between syllables.","""Remember, this was all your idea."" Her words were calm, soothing; she must have been able to sense my panicked surge. And besides, she was right. I was here because I had asked for it, in my words as well as my actions. The world is very simple that way, I began to think.",Unfulfilled,2,"Her words were calm, soothing; she must have been able to sense my panicked surge. And besides, she was right. I was here because I had asked for it, in my words as well as my actions. The world is very simple that way, I began to think. Her words were calm, soothing; she must have been able to sense my panicked surge. And besides, she was right. Her words were calm, soothing; she must have been able to sense my panicked surge. And besides, she was right. ",2,wanted to
There are a couple of things I [wanted to] ramble about,"Have about an hour before going back to P/u j&D, thought I'd try to update here.","Yesterday while J&D were at camp, me & C spent the time at Target, where I did two things that horrified me, considering it's July: 1 school clothes shopping I couldn't help it, there were racks & racks of 60% off. Dylan needs some nice shirts, he's either outgrown or outstained the nice ones he wore through pre-K. Fortunately, I can just buy stuff for him w/out having him try it on. Miss those days w/J! against my will, I also bought some stuff from the back-to-school section. I pretended it was August 2 Christmas shopping.",Fulfilled,3,"I Yesterday while J&D were at camp, me & C spent the time at Target, where I did two things that horrified me, considering it's July Yesterday while J&D were at camp, me & C spent the time at Target, where I did two things that horrified me, considering it's July ",2,wanted to
"I don't know why I put off watching this for so long - besides being busy, I guess I really [wanted to] give it some time, and be in the right mood.","I finally watched the movie I'd had from Netflix for just about one month, I'm not there, in which six actors portray six different ""personas"" of Bob Dylan.","Sadly, I was so tired last night, and it's such a long movie that even though I enjoyed it, I don't feel I got so much from it. But honestly, the best thing about this movie is the actors, especially Cate Blanchett. She is just phenomenal. The movie is worth watching just for her performance. Seeing Heath Ledger was bittersweet - besides seeing him as the Joker in the Batman movie, I haven't watched anything with him since he died.",Unfulfilled,2,"I finally watched the movie I'd had from Netflix for just about one month, I'm not there, in which six actors portray six different ""personas"" of Bob Dylan. Sadly, I was so tired last night, and it's such a long movie that even though I enjoyed it, I don't feel I got so much from it Sadly, I was so tired last night, and it's such a long movie that even though I enjoyed it, I don't feel I got so much from it ",2,wanted to
"Actually, I sort of wondered if I even [wanted to] go, but I was on the list to go to lunch with the speaker (each speaker is taken to lunch by two students after the talk).","One of them was last week, on Thursday. Normally the seminars are on Monday. I forgot about the one last week until about two hours after it was done. Last night I remembered, and even though I stayed up late last night doing some work and preparing for London, I woke up today and got to the talk. I was about ten minutes late, but that is typical for me.",This is the second time I have been to a talk by this particular speaker. I went to hear her talk in the social psychology department during the fall of my second year. The talk was okay. About half of the studies she presented I had already seen last year.,Fulfilled,2,This is the second time I have been to a talk by this particular speaker. This is the second time I have been to a talk by this particular speaker. This is the second time I have been to a talk by this particular speaker. ,2,wanted to
"Reminded me of my sister's wedding, as she had [wanted to] do the same, arrive in a horse-drawn carriage.","So instead we have 4 days off work and we can just chill and do a few bits round the house instead. Although it is annoying not to be going and seeing all the bands and friends, I was a bit daunted by spending a weekend in a tent at the mercy of the weather (which at this very moment is pelting down with rain) and living on beer and burgers, queueing to go to the toilet in a portable stink box and not being able to get clean properly etc. I'm not really very good at going without luxuries like a flushing toilet and a shower! Ona completely different subject, as we came back from the off-licence, we saw a bride in a horse-drawn carriage going down the road, which was quite cute. Although it was raining, the carriage had a roof so the bride would have been dry inside.","But for her it was not meant to be, as on the day of the wedding, they called to say the horse was sick and they couldn't do it. In the end she had to be driven to the church in dad's car, and she got oil on her dress, ruining the photos etc.",Unfulfilled,3,"But for her it was not meant to be, as on the day of the wedding, they called to say the horse was sick and they couldn't do it. But for her it was not meant to be, as on the day of the wedding, they called to say the horse was sick and they couldn't do it. In the end she had to be driven to the church in dad's car, and she got oil on her dress, ruining the photos etc. But for her it was not meant to be, as on the day of the wedding, they called to say the horse was sick and they couldn't do it. In the end she had to be driven to the church in dad's car, and she got oil on her dress, ruining the photos etc. ",3,wanted to
We also talked about some books we [wanted to] read and the whole night was just fun.,"I actually got to leave my cave for awhile. One night I had dinner with a friend and we talked about her trip to California and then we just talked for a couple of hours about writing. Different styles, what we want to accomplish and now I have a critique partner! Well, another one. So, yeah!","Plus it then led to some really good writing time which kept me up until very, very late. Or would that be very, very early? Oh well.",Unknown from the context,2,None,3,wanted to
I [wanted to] wear me cute shirts real bad.,Sunday night... I swear... my stomach got 3 times bigger... not being sarcastic or anything... and my mom just took me shopping Sunday. It sucked... All I could wear was my hydrolic pants and my silver dollar city sweatshirt. I was so disappointed.,And I tried telling my about it Monday before school... and she started laughing... she goes there's no possilbe way! Its probably just water weight. Umm... no... not really... its not really going down with a fight!,Unfulfilled,3,All I could wear was my hydrolic pants and my silver dollar city sweatshirt. I was so disappointed. All I could wear was my hydrolic pants and my silver dollar city sweatshirt. I was so disappointed. All I could wear was my hydrolic pants and my silver dollar city sweatshirt. I was so disappointed. ,2,wanted to
I still cannot remember what specific family vacation I [wanted to] write about.,"I guess I should finish the entry I started Thursday before I was so rudely interrupted by my vacation. Before I do that I have a public service announcement: If you have not seen the Dark Knight, go now. See it. Now! Now, back to family vacations.","So I think I will just throw out random bits and pieces of family vacations that I can remember. First, I have to give you some general ""Coats family Travel"" rules. There were 5 of us: My parents, older brother, younger sister, and myself. Rule number one of ""Coats family Travel"" stemmed from us three kids' fighting tendencies. Rule # 1: When we're in Moulton, sit down and be quiet.",None,0,So I think I will just throw out random bits and pieces of family vacations that I can remember. So I think I will just throw out random bits and pieces of family vacations that I can remember. ,2,wanted to
Words that I never [wanted to] hear from my father fell apon the feet of my mother.,"But yet the words from my mother were ""He's not doing that!"" Well, I'm of those kind of people that knows when somethings up. On a regular day, waiting to go to my borthers football field, I hear yelling in the parents room. ""I'M done I'M done!"" Of course I had to go stand by the closed door and listen.","As I start to cry My mother opens the door and sees me. I tell my dad I hate him and then we leave to go to the field. After everything that my mom has been through, with her cancer, with all the work she has at the hospital, and putting up with me and my brother, my dad just wants to leave?",Unfulfilled,2,Of course I had to go stand by the closed door and listen. Of course I had to go stand by the closed door and listen. Of course I had to go stand by the closed door and listen. ,3,wanted to
"We decided to take it easy - usually we're trying to rush around and see everything, but this time we [wanted to] go slow - so had a little snack break - we brought our food too, which we usually don't do!",Thank goodness!!! Chei was a bit of a photographer yesterday - taking a few photos {stealing my camera!} He took this one of the stinky pigs Harmony was freaking out about the giant tortoises - telling us they were going to get us... we were trying to tell her that it would take them all day to get to us lol! They were too busy eating anyway,"It looks like this iguana was smiling at Harmony - so I told her to wave - so she did hehehe Chei was being a pretty good poser for me too, which was great {for a change!} A Koala - actually moving! Usually they don't do much when we go there!",Fulfilled,3,so had a little snack break We decided to take it easy We decided to take it easy ,0,wanted to
"The artists I [wanted to] see were excellent, and many of the artists I saw who I did not know beforehand were quite good as well.","Day one 07/19/200 This past weekend I went to the Pitchfork Music Festival for the third year in a row. I almost didn't go this year because I thought the lineup was a bit underwhelming, but I am really glad that I made it after all.","This year I went with Carlene, my girlfriend who has never been to a music festival or a concert, for that matter, and my good friend Roy, who went for the second year in a row. On Saturday we arrived around 1pm. Titus Andronicus were playing some loud rock music but we wandered around to get a feel for the festival rather than check them out. It was raining off and on early in the afternoon, which made for some interesting sights. The ground was muddy as fuck in some places and there were even groups of people who were spreading the mud all over themselves and dancing around.",Fulfilled,3,The artists I [wanted to] see were excellent The artists I [wanted to] see were excellent The artists I [wanted to] see were excellent ,2,wanted to
"When I first moved to Minnesota back in 1991, the department I was going to work for asked me if I [wanted to] use an IBM-type computer or a Macintosh computer.","This was the sermon for the 16th Sunday after Pentecost, 12 September 1999. I presented this message at Walker Valley United Methodist Church and the Scriptures were Exodus 14: 19 - 31, Romans 14: 1 - 12, and Matthew 18: 21 - 35.","Now, having just completed a three hundred-page book and a number of other manuscripts on an IBM-type computer, I didn't really feel like learning a new system. So I told them I wanted an IBM-type computer. As it turned out, everyone else in the department was using a Macintosh and I was viewed with a cautious eye. And the caution turned to anger and shouting every time I tried to print something on the department printer. Every time I would send a print job to the printer, the system would ""crash"" and anyone ""downstream"" from my office would not be able to do anything...",Fulfilled,3,"So I told them I wanted an IBM-type computer. As it turned out, everyone else in the department was using a Macintosh and I was viewed with a cautious eye. And the caution turned to anger and shouting every time I tried to print something on the department printer. So I told them I wanted an IBM-type computer So I told them I wanted an IBM-type computer ",3,wanted to
I just [wanted to] make a quick update to express my undying love to xcry and missiemae for writing such wonderful stories.,"My room, at the moment, is really messy think of Nodame's room in an ordinary day. And if you have no idea of what I'm talking about... You must watch that drama!!! It's awesome!!! Anyway...",I you!!! I also found the raw volume of the manga Kurosagi. I don't understand Japanese at all... but let me tell you:,Fulfilled,3,I just [wanted to] make a quick update to express my undying love to xcry and missiemae for writing such wonderful stories. I you!!! I you!!! ,2,wanted to
"I portrayed it as a ut paperwork issue, which was a white lie, but I thought that would be more understandable and forceful than that I was strongly considering leaving and [wanted to] make the decision in time to get reimbursed.",It's officially over. I sent Dr. Potential an e-mail last night trying to be clear that I needed him to actually read my sample chapters (that he's had for over a month) and tell me whether he was in or out of my committee.,"He took the e-mail as rude (which in hindsight, I kind of see, but I mostly disagree with and was definitely not the intent) and sent me a scathing e-mail today about how dare I indicate that I actually expect him to do something he said he'd do. Then he took himself off the committee. Shades of everything with the new Dr. Fourth all over again. This is why I've spent so much of grad school walking on egg shells and being afraid to say anything to my committee members about the fact that it would be tremendously helpful if they'd, you know, read what I send them and give me feedback. So I have to fax over my withdrawal tomorrow, and I'll definitely get 70% of my tuition back.",Fulfilled,3,"So I have to fax over my withdrawal tomorrow, and I'll definitely get 70% of my tuition back. It's officially over. So I have to fax over my withdrawal tomorrow, and I'll definitely get 70% of my tuition back. It's officially over. So I have to fax over my withdrawal tomorrow, and I'll definitely get 70% of my tuition back. ",2,wanted to
"I chose to post a face pic because I wanted the people who responded to the ad to really know who it was they were looking at, I [wanted to] be wanted for all of me, if you understand that.","And they just kept coming. I didn't realize what a turn on it is to men to sleep with a married woman. And it was such an unbelievable ego boost to me, who thought of myself as a rather homely looking, short, dark girl. But DH and I had done an erotic picture taking session- and we posted a few of those photos, both with and without my face. Many people who placed ads didn't include face pics in order to protect their privacy, which I completely understand.","I wanted people to see who I am, not just my body. Although after a few days, I starting feeling self-conscious doing errands and such, wondering if any of the men I saw recognized me.",Unknown from the context,2,"And it was such an unbelievable ego boost to me, who thought of myself as a rather homely looking, short, dark girl. And it was such an unbelievable ego boost to me, who thought of myself as a rather homely looking, short, dark girl. ",2,wanted to
It would be fun and silly and just the sort of picture I [wanted to] take home from this trip.,"""I shall have a piece of 'pastery.'"" Wienerbrod is actually what we Americans would call a Danish, but for obvious reasons they do not call the yummy, sweet things we eat for breakfast 'danishes.' I learned this phrase in class without ever really planning on seriously using it. After all, I did not plan on buying more than one Danish. With this solitary Danish I planned on having my picture taken a few times, perhaps standing near some Danes, and then writing the caption, ""Abby with a Danish!""","That was all before I found the Saint Peter's bakery. Saint Peter's is named for the street it is on and the nearby church. Saint Peter's church stands behind a ten foot wall. It is brick and has a lovely yard around it with benches. It is in the middle of Copenhagen, an island of calm in the busy city.",Unknown from the context,2,That was all before I found the Saint Peter's bakery. That was all before I found the Saint Peter's bakery. ,2,wanted to
When my mom asked if I [wanted to] move to South river: My life in Edison flashed before my eyes.,Work is ok and I havent been freaking out at night lately. I wish for Rob to dominate in Berlin... I hope he brings me freebiez. I wanna go to six flags! I should start working out at the gym that I have on my membership that my parents pay for.,Turns out my dad is looking to buy this place from his un office mate...,Unknown from the context,3,None,3,wanted to
Din even develop the photos which I [wanted to] do...,"But when today I get to know I mixed up the goods that I packed yesterday, I felt very ""bi Chey"". I hate myself for mixing up the goods then I hate them. I can't believe I screwed up! I feel so damn guilty la! Sian just now when I went out still very happy de but that call from my mom ruined my whole day.",Had a very bad dream on Saturday's night. It's one of the worse nightmare I ever had. It's the second time I cried after I woke up from a nightmare.,Unfulfilled,3,Din even develop the photos Din even develop the photos Din even develop the photos ,2,wanted to
"This was actually supposed to go on until after Nagi's wife's death, but I [wanted to] get this done before it was too late.",Title: painted white Fandom: Deadman wonderland notes: Birthday gift for ethanol! I'm so sorry if you don't like it alksjdflksdjf because I don't think the characterization came out well.,"Hence the singing; she was supposed to be like ""SONGBIRD"" but that didn't end up happening. Also, I bullshitted Nagi's age. PS; I stole all of the names of the children from the battle Royale Wiki because I don't know Japanese names well enough to make some up on my own DD His life seems to have dissolved into, ""ah, please, Shogo, don't pull Yuko's hair--"" and, ""no no no, Haruka, you do not eat the white glue, it's not candy--"" and the best part is that he doesn't actually mind at all. He stands in an attentive sea of small bodies, so tall that they pretty much only reach to his knees, and the smile on his face is the widest that it will ever be.",Fulfilled,2,Hence the singing Hence the singing ,0,wanted to
"We saw a lot of major tourist attractions and I got to go up the Eiffel tower at night, which I'd really [wanted to] do, so I was pretty happy.","So, we went to Paris, and it was nice, then we came back, and it's been an okay week. But yeah, it was good.","Not too much more to report, really (no, he didn't propose, if you were wondering... ) * it was a bit strange being back at work after so long off, but nice, actually. I am out of the photo archive now, which is a big relief. Spent all of this week in the archaeology department, designing another exhibit with the help of some 8-13 year olds. It's actually turned out pretty cool. Next two weeks I will be with Rachel in anthropology (my favorite), then I am done.",Fulfilled,3,I got to go up the Eiffel tower at night I got to go up the Eiffel tower at night I got to go up the Eiffel tower at night ,2,wanted to
Watched the Olympics when it was on... was pissed that some of the events I really [wanted to] see were shown during the day on off-channels-or not at all.,"It's really been ssddbp here lately. Working, going home, reading, watching TV.",Now watching the Democratic convention. Love Hill's speech tonight. Looking forward to Bill's. Still love Keith Olbermann. Love him.,Unfulfilled,3,was pissed that some of the events I really [wanted to] see were shown during the day on off-channels-or not at all. shown during the day on off-channels-or not at all shown during the day on off-channels-or not at all ,2,wanted to
I [wanted to] let him come to me when he [wanted to] see me.,"Ok so I had decided that I was going to stop worrying about whether or not Stephen was going to want to be with me, I was just going to go with the flow and stop trying to go after him.","So last night I went to cafe cottage with some friends and Stephen called me and he said he was going to cafe to get some coffee. So when he gets there he sits by me and a few minutes later he text messages me and asks me if I want to go somewhere. So we go to the park for a little while, and I bring him back to his car and he kisses me... a lot. So I'm thinking maybe something good is about to happen. So today I just kinda expected him to call me, but of course he didn't all day so I decided to call him at about 20am he answered (surprisingly) and we talked about what he did that night etc.",Fulfilled,3,"Stephen called me and he said he was going to cafe to get some coffee So when he gets there he sits by me and a few minutes later he text messages me and asks me if I want to go somewhere. So we go to the park for a little while, and I bring him back to his car and he kisses me... a lot. So when he gets there he sits by me and a few minutes later he text messages me and asks me if I want to go somewhere. So we go to the park for a little while, and I bring him back to his car and he kisses me... a lot. ",3,wanted to
"If she had not [wanted to] be my friend, then I would immagine that she would have just said so instead of leaving me the open invitation to stop bye any time, but who knows, she has surprised me more often than not with her behavior... Specially when she told me that she had known all along that my x had been cheating on me for some time and decided not to tell me.","This year I dreamt about him running away from his mother, giving me a hug and whispering the words 'I miss you auntie Jenna' into my ear, before running back to his mom- where he rceived a swat on his ass for the stunt. 'I miss you too, sweetie. ... he probably doesn't even remember who iam... Seriously tho, sometimes I wonder just what the fuck happened. An outside source that I was talking to about this made the observation that if I was always the scape-goat for her bad/indiscrimiate behavior, then if her husband had finally put two and two together, I would just have to get out of her life so he wouldn't find out the truth- and I could be blamed for her actions yet again. Her line of thinking seems more plausable than anything else that I could come up with.",I dunno-just odd. Another outside source thinks that either she had a thing for my hubby and she couldn't have him and was pissed at me that I did.,Unknown from the context,3,None,3,wanted to
"For the longest time, I have [wanted to] purchase gothic beauty for a long time, and finally I got word that they have it.","To put it shortly, I was waiting at the mall for 5 hours for girl who didn't show up untill I left. To fill in that 5 hours, I wandered around the mall, and went to barns and noble.","So I go to buy it, and on a shelf that says 'this month's picks', I see yen +PLUS. Are my eyes decieveing me? Is there really another manga magazine out? I'm dancing, I'm happy. I love manga AND hope to be a manga artist someday.",Unknown from the context,2,I got word that they have it.  So I go to buy it ,2,wanted to
"I was soo mad I missed him,because I [wanted to] see him in concert again.","After hearing 3 songs in a row of John Mayer I became curious. Once the commericals came on they said ""and your listening to the John Mayer concert encore""... I sat straight up. I was like what? I didnt even know he was on tour. Let alone in town.","I saw him twice and both times were great. So I sat there thinking, man how could I have missed him,they didnt say anything on TV or the radio about him being in town. IM such a horrible fan. I wanted to see him live again and add another shirt to my collection.",Unfulfilled,3,"So I sat there thinking, man how could I have missed him,they didnt say anything on TV or the radio about him being in town. ; I was soo mad I missed him I was soo mad I missed him I was soo mad I missed him ",2,wanted to
He skated for ~ 4hrs and came up to me about 40 and said that he could tell I was tired and that he [wanted to] do one more thing and then we could go.,"One of his friends from clt was there for about an hour, a little stopover for them on their way to Atlanta. Blake and I really liked the park. It was well planned out with both in-line skaters and skateboarders in mind. Free WiFi with parents in mind. I had just worked a 24hr shift and found a loveseat that was comfortable enough for me to get some sort of rest.","He said that he was also getting tired and didn't want to over do it before the competition on sun. He skated off and came back a few minutes later and I could tell he was hurt by the way he was moving. Now, Blake is kind of my drama boy.",Fulfilled,3,He skated off and came back a few minutes later He skated off and came back a few minutes later He skated off and came back a few minutes later ,3,wanted to
Because I [wanted to] shoot footage at the party.,"Last night was the birthday party for some girl that I know, and I didn't go, because I didn't feel like looking at rooms full of drunk and sweaty boring people, although I am 80% the same. I didnt' feel like going out last night, as I dont feel like going out any night really. I was going to go with my roommate Emily, to this party. But then she ended up going without me, instead she went with Charlie. So I got a little pissed.","And that's when I decided not to go at all. Friends who need meetings. Ugh. I dont like all the fucked up relationships around me. I have basically two friends, but it seems like there are many more relationships in there which come dangerously close to encroaching upon my life, and it shouldn't be like that.",Unfulfilled,3,And that's when I decided not to go at all. And that's when I decided not to go at all. And that's when I decided not to go at all. ,2,wanted to
"This wasn't the first time, and in the past, I've always [wanted to] run away, silently attempted to resolve it on my own, and sought placebo resolutions such as drinking and partying or taking an overdose of sleeping pills.","I left in an emotional state and it took me a minute to get my thoughts straight. I was hurt and angry, feeling discarded and put in low priority.","I was tempted to do the same again yesterday. In order for me to come to terms with this situation as just a setback and not an ultimate failure on my end to fulfill my current decisions to love myself, I cannot just hope it goes away with time and perhaps distance. After all, courage is not the absence of trepidations, and I am determined not to be a coward. In facing it, I must acknowledge my feelings and think through it to determine the root origin. You see, I've always known what I had to do for next time, but I never really thought about what caused it in the first place.",Unfulfilled,3,"I was tempted to do the same again yesterday. In order for me to come to terms with this situation as just a setback and not an ultimate failure on my end to fulfill my current decisions to love myself, I cannot just hope it goes away with time and perhaps distance. silently attempted to resolve it on my own silently attempted to resolve it on my own ",3,wanted to
Dani decided she [wanted to] go to the party so I picked her up and we headed over there about an hour late.,"I woke up late but I began to work on my law school applications. I got the one for Iowa sent in and then went to visit Roy. He seems to be doing pretty well which was happy. After that, I came home to have dinner, take care of the dog, and get ready for the party. However, I began to work on my Michigan application and decided to finish that before the party.","Josh and Jesse got there just as we did. So, we got inside and Dani and I started building Hogwarts. It turned out pretty awesome. Jesse built a landing craft from Normandy.",Fulfilled,3,"I picked her up and we headed over there about an hour late. So, we got inside and Dani and I started building Hogwarts. So, we got inside and Dani and I started building Hogwarts. ",3,wanted to
"The bad news: My friends from back home came to visit me, and of course they [wanted to] go out for pizza... and not only did I eat a slice of cheese pizza, but I also had two pieces of bread.",Today was both good and bad.,"Ugh. WTF is wrong with me? I used to be able to say no to food when I went to a restaraunt, and now im just like, oh well nothing I can do about it and chow down. The good news: like I said, finally bought a scale last night. So now I dont have to wait until the weekends to weigh myself",Fulfilled,3,"not only did I eat a slice of cheese pizza, but I also had two pieces of bread. and not only did I eat a slice of cheese pizza, but I also had two pieces of bread. and not only did I eat a slice of cheese pizza, but I also had two pieces of bread. ",3,wanted to
